serum,virus,ID,dilution,value,serum group,batch
2,d28,0.5,81571.6391,81571.6391,C-1 (Batch Control),26.01.08 
2,d56,0.5,16879.41496,16879.41496,C-1 (Batch Control),26.01.08 
2,d365,0.5,5760.494336,5760.494336,C-1 (Batch Control),26.01.08 
2,d28,0.5,63218.73608,63218.73608,C-1 (Batch Control),26.01.15 
2,d56,0.5,9299.800198,9299.800198,C-1 (Batch Control),26.01.15 
2,d365,0.5,9198.91235,9198.91235,C-1 (Batch Control),26.01.15 
2,d28,0.5,5289.294564,5289.294564,C-1 (Batch Control),26.01.16
2,d56,0.5,1804.243304,1804.243304,C-1 (Batch Control),26.01.16
2,d365,0.5,427.8100418,427.8100418,C-1 (Batch Control),26.01.16
2,d28,0.5,7576.479404,7576.479404,C-1 (Batch Control),26.01.23
2,d56,0.5,1427.531049,1427.531049,C-1 (Batch Control),26.01.23
2,d365,0.5,332.4274174,332.4274174,C-1 (Batch Control),26.01.23
2,d28,0.5,24491.99961,24491.99961,C-1 (Batch Control),26.01.29
2,d56,0.5,6231.628213,6231.628213,C-1 (Batch Control),26.01.29
2,d365,0.5,2751.142733,2751.142733,C-1 (Batch Control),26.01.29
